	genus	guild	confidenceRanking	C-FOMI-AGAR-POT-63-ITS_R1.fastq.gz	C-FOMI-AGAR-POT-64-ITS_R1.fastq.gz	C-PENI-AGAR-OAT-65-ITS_R1.fastq.gz	C-PENI-AGAR-OAT-66-ITS_R1.fastq.gz	C-PENI-AGAR-POT-56-ITS_R1.fastq.gz	C-PENI-AGAR-POT-57-ITS_R1.fastq.gz	C-PENI-AGAR-POT-62-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-50-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-52-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-59-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-60-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-61-ITS_R1.fastq.gz	C-UNKN-AGAR-POT-55-ITS_R1.fastq.gz	C-UNKN-AGAR-POT-67-ITS_R1.fastq.gz	F-MSUB-WOOD-EPB-20-ITS_R1.fastq.gz	F-MSUB-WOOD-EPB-22-ITS_R1.fastq.gz	F-MSUB-WOOD-SAB-28-ITS_R1.fastq.gz	L-CBRA-BARK-BOJ-02-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-01-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-11-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-12-ITS_R1.fastq.gz	L-CFUR-WOOD-BOJ-15-ITS_R1.fastq.gz	L-CSTE-BARK-UKN-42-ITS_R1.fastq.gz	L-CSTE-WOOD-EPB-39-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-06-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-08-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-21-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-36-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-46-ITS_R1.fastq.gz	L-CTRI-WOOD-BOJ-26-ITS_R1.fastq.gz
ASV726	Acremoniopsis	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,57090794237236	0	0	0	0	0	0
ASV404	Acrodontium	Plant Pathogen-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,12039464002035	0	0	0	0	0	5,62239243585987	0	0	0	0
ASV620	Blastobotrys	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,93039622524525	0	0	0	0	0	0	0	0
ASV681	Blastobotrys	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,72694706767596	0	0	0	0	0	0	0	0
ASV743	Blastobotrys	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,49002172725006	0	0	0	0	0	0	0	0
ASV224	Botryobasidium	Undefined Saprotroph-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,26055356845635	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV266	Botryobasidium	Undefined Saprotroph-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,9389231460089	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV307	Botryobasidium	Undefined Saprotroph-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,47834953425755	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV281	Bryostigma	Lichen Parasite-Lichenized	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,78572061786361	0	0	0	0	0	0	0	0	0	0	0	0
ASV314	Bryostigma	Lichen Parasite-Lichenized	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,43548875882681	0	0	0	0	0	0	0	0	0	0	0	0
ASV888	Calcarisporium	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,07707245614645	0	0	0	0	0	0	0	0	0	0
ASV473	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,22286492616053	0	0	0	0	0	0	0	4,39302662627441	0	0	0	0	0	0
ASV474	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,54840663436224	0	0	0	0	0	0	0	0	0	0	0
ASV508	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,41837867635472	0	0	0	0	0	0	0	0	0	0	0
ASV677	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,79041106688112	0	0	0
ASV694	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,70710293254005	0	0	0	0	0	0	0	0	0	0
ASV778	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,39658059336163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV789	Capronia	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,35618564452047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV722	Carcinomyces	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,57474137128563	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV864	Carcinomyces	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,12687922314728	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV657	Carcinomycetaceae_gen_Incertae_sedis	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,83065016532093	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV730	Carcinomycetaceae_gen_Incertae_sedis	Fungal Parasite-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,53930857875582	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV20	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12,3317484211896	11,4931984385094	12,0338829579873	9,6211089213435	0	0	0	0	0	8,06399707773499	0	0
ASV24	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12,0816353862519	11,102473610036	11,5098112285752	9,53459321302408	0	0	0	0	0	7,59025136476599	0	0
ASV35	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,3902815437872	10,6050869525743	11,1073642574887	8,96539397143172	0	0	0	0	0	7,28381167908324	0	0
ASV46	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,0905144295332	10,3983428759534	10,839356668646	8,4736310125082	0	0	0	0	0	6,8942241703887	0	0
ASV48	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,80571043417489	0	6,46032731962981	0	10,4411052909609	0	0	0	0	0	11,8793811428261	0	0
ASV50	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,0024901237901	10,2433479861408	10,4868384549491	8,5983009280936	0	0	0	0	0	6,715922801308	0	0
ASV56	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	3,06245437220157	0	0	0	0	0	0	0	8,12371294118642	11,4945262459827	0	0	0	7,89150465690828	0	9,41564791026297	5,65708800003108	7,7162397842894	0	6,27546002945178	0	8,07667635301476
ASV58	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,7254849786545	10,0078840875461	10,2887310593039	8,03707373702724	4,05458094592779	0	0	0	0	6,92191071645318	0	0
ASV60	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,8524147887914	7,36673634845994	0	0	11,4545858807649	5,44301889434097	0	0	8,20117038218335	0	8,95022307613046	0	4,98998117667842
ASV63	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,47267764328283	0	10,1037013027141	0	0	0	0	0	11,3684383722109	0	0
ASV64	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,82583400805376	11,1317437378412	0	0	0	7,72177186502602	0	9,23140699401766	5,36175567009886	7,48208089740243	0	5,70352325874109	0	7,67657118262449
ASV74	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,46896421789215	10,5363829402042	0	0	0	6,95431384757182	0	8,42104478487608	0	6,98043106420218	0	5,16901994794955	0	7,25938233707572
ASV80	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,13098445198832	10,2873037443015	0	0	0	6,91375595071917	0	8,13177492643915	0	6,68563187648369	0	4,9712091762702	0	6,94079467366737
ASV82	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,87084825769278	10,1348866474252	0	0	0	6,5223840081069	0	8,21811397685084	0	6,66918449936083	0	4,9712091762702	0	7,02080442099221
ASV85	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,53381836645488	8,61856822722304	9,04836387026327	6,75445344565695	0	0	0	0	0	5,07350228408203	0	0
ASV87	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,63560117729962	0	10,6914937481435	0	0	0	0
ASV92	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,82744207261172	9,89934005000817	0	0	0	6,41023104132776	0	7,92825905296007	0	6,66918449936083	0	4,74189904822581	0	6,61960901168522
ASV102	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,13307924954704	8,17529604719561	8,38264326915915	6,62644371642438	0	0	0	0	0	4,9172074725184	0	0
ASV129	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,94211660636203	0	8,96539397143172	0	0	0	0	0	7,56413373546628	0	0
ASV157	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,68320135994776	8,51441615309563	0	0	0	5,41451096664729	0	6,49511496576462	0	0	0	0	0	4,82148653857597
ASV170	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,79999114848835	0	0	0	0	0	0	0	0	0	4,74189904822581	0	0
ASV172	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,92202985702204	8,2975193276706	0	0	0	4,60386048832905	0	6,21059711777083	0	0	0	0	0	4,87986554115532
ASV191	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,59885560807126	0	0	3,56459728091989	0	0	0	0	0	0	0	0	0
ASV197	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,41598296798681	0	0	6,96347606631541	5,75391406407553	0	0	0	7,62439930123087	0
ASV239	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,14946104983482	0	0	0	0	0	0
ASV255	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,03390396255351	0	0	0	0	0	0	0
ASV265	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,96133061564045	0	0	0	0	0	0	0
ASV280	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,78474566031592	0	0	0	0	0	0
ASV436	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,75717122142399	0
ASV521	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,38435370856848	0
ASV771	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,44705401161882	0	0	0
ASV813	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,32681002987696	0
ASV820	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,26809975902791	0	0	0	0	0	0	0	0	0	0	0	0
ASV860	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	5,14803646208125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV877	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,14744695657033	0
ASV909	Chaenotheca	Lichenized	Highly Probable	0	0	0	0	0	0	0	4,99717350983705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV106	Chaenothecopsis	Lichen Parasite	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,2380817411969	0	0	0	0	0	0	5,14083844998284
ASV108	Chaenothecopsis	Lichen Parasite	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,1621115000936	0	0	0	0	0	0	0
ASV313	Chaenothecopsis	Lichen Parasite	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,45447617036665	0	0	0	0	0
ASV560	Chaenothecopsis	Lichen Parasite	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,20488587993517	0	0	0	0
ASV616	Chaenothecopsis	Lichen Parasite	Highly Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,98331718096407	0	0	0	0
ASV821	Chaetothyriales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,26217765506421	0	0	0	0	0	0	0	0	0	0
ASV270	Cladophialophora	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,49312807850136	0	0	0	0	0	5,82580888759548	0	0
ASV373	Cladophialophora	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,05720434008501	0	0	0	0	0	0	0	0
ASV472	Cladophialophora	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,55791110645373	0	0	0	0	0	0	0	0
ASV905	Cladophialophora	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,0232621939334	0	0
ASV396	Cladosporium	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,72077402493665	0	0	0	0	0	0	3,93016676990183	0	0	0	0	0	0
ASV471	Cladosporium	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,57091104238712	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV607	Cladosporium	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,99660099823314	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV844	Clavicipitaceae_gen_Incertae_sedis	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,21450734798999	0	0
ASV904	Clavicipitaceae_gen_Incertae_sedis	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,0232621939334	0	0
ASV327	Coniophora	Lichen Parasite-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,36072009667392	0	0	0
ASV392	Coniophora	Lichen Parasite-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,9600697308007	0	0	0
ASV398	Coniophora	Lichen Parasite-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,91873518280947	0	0	0
ASV401	Coniophora	Lichen Parasite-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,90468957169828	0	0	0
ASV460	Coniophora	Lichen Parasite-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,65909553125025	0	0	0
ASV291	Cryptodiscus	Lichenized-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,66312948680767	0	0	0	0	0	7,22945399557253	0	0
ASV296	Cyberlindnera	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	7,56169228981338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV362	Cyberlindnera	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	7,12054698173599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV794	Cyphellophora	Animal Pathogen-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,33482854384243	0	0	0	0	0	0	0	0
ASV901	Cyphellophora	Animal Pathogen-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,01515389903994	0	0	0	0	0	0	0	0
ASV644	Dactylospora	|Lichen Parasite|-Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,85966839226364	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV19	Devriesia	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	8,13714019597586	0	0	0	0	0	0	0	4,9760330435116	10,8591631159112	11,2292498176483	9,63077325483168	10,516794419854	10,106703100624	9,70940689183399	9,20627811411227	8,43408359087786	11,2472461931471	7,89608341220744	10,31867876262	8,92794744542317	7,85450935138027
ASV23	Devriesia	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	7,87791917797987	0	0	0	0	0	0	0	5,21933725294864	10,6024611161795	10,8351176315079	9,35346441950081	10,2535818181602	9,77621127119523	9,3498359716608	8,78013789945817	7,9529689889809	10,9642986242654	7,43100364736306	9,95321193196588	8,3606244464975	7,63480349756504
